country_name,country_code,year,value
SpVggGreutherFuerth,COL,67/68,0
SpVggUnterhaching,COM,67/68,0
SSVUlm,COD,67/68,0
StuttgarterKickers,COG,67/68,0
SVDarmstadt98,CRI,67/68,0
TasmaniaBerlin,CIV,67/68,15
TennisBorussiaBerlin,HRV,67/68,0
VfBLeipzig,CUB,67/68,0
VfBStuttgart,CUW,67/68,249
VfLBochum,CYP,67/68,0
VfLWolfsburg,CZE,67/68,0
WaldhofMannheim,DNK,67/68,0
Wattenscheid09,DJI,67/68,0
WerderBremen,DMA,67/68,300
1.FCKaiserslautern,AFG,68/69,258
1.FCKoeln,ALB,68/69,381
1.FCNuernberg,DZA,68/69,302
1.FCSaarbruecken,ASM,68/69,44
1.FSVMainz05,AND,68/69,0
1860Muenchen,AGO,68/69,375
1899Hoffenheim,ATG,68/69,0
AlemanniaAachen,ARG,68/69,109
ArminiaBielefeld,ARM,68/69,0
Bayer04Leverkusen,ABW,68/69,0
BayerUerdingen,AUS,68/69,0
BayernMuenchen,AUT,68/69,262
Blau-Wei§90Berlin,AZE,68/69,0
BorussiaDortmund,BHS,68/69,389
BorussiaMoenchengladbach,BHR,68/69,265
BorussiaNeunkirchen,BGD,68/69,109
Darmstadt98,BRB,68/69,0
DynamoDresden,BLR,68/69,0
EintrachtBraunschweig,BEL,68/69,259
EintrachtFrankfurt,BLZ,68/69,349
EnergieCottbus,BEN,68/69,0
FCAugsburg,BMU,68/69,0
FCHomburg,BTN,68/69,0
FCIngolstadt04,BOL,68/69,0
FCSt.Pauli,BIH,68/69,0
FortunaDuesseldorf,BWA,68/69,44
FortunaKoeln,BRA,68/69,0
HamburgerSV,VGB,68/69,322
Hannover96,BRN,68/69,242
HansaRostock,BGR,68/69,0
HerthaBSCBerlin,BFA,68/69,116
KarlsruherSC,BDI,68/69,210
KickersOffenbach,CPV,68/69,42
MeidericherSV,KHM,68/69,176
MSVDuisburg,CMR,68/69,142
Preu§enMuenster,CAN,68/69,34
RBLeipzig,CYM,68/69,0
Rot-Wei§Essen,CAF,68/69,35
Rot-Wei§Oberhausen,TCD,68/69,0
SCFreiburg,CHI,68/69,0
SCPaderborn07,CHL,68/69,31
Schalke04,CHN,68/69,253
SpVggGreutherFuerth,COL,68/69,0
SpVggUnterhaching,COM,68/69,0
SSVUlm,COD,68/69,0
StuttgarterKickers,COG,68/69,0
SVDarmstadt98,CRI,68/69,0
TasmaniaBerlin,CIV,68/69,15
TennisBorussiaBerlin,HRV,68/69,0
VfBLeipzig,CUB,68/69,0
VfBStuttgart,CUW,68/69,309
VfLBochum,CYP,68/69,0
VfLWolfsburg,CZE,68/69,0
WaldhofMannheim,DNK,68/69,0
Wattenscheid09,DJI,68/69,0
WerderBremen,DMA,68/69,359
1.FCKaiserslautern,AFG,69/70,302
1.FCKoeln,ALB,69/70,464
1.FCNuernberg,DZA,69/70,302
1.FCSaarbruecken,ASM,69/70,44
1.FSVMainz05,AND,69/70,0
1860Muenchen,AGO,69/70,416
1899Hoffenheim,ATG,69/70,0
AlemanniaAachen,ARG,69/70,140
ArminiaBielefeld,ARM,69/70,0
Bayer04Leverkusen,ABW,69/70,0
BayerUerdingen,AUS,69/70,0
BayernMuenchen,AUT,69/70,350
Blau-Wei§90Berlin,AZE,69/70,0
BorussiaDortmund,BHS,69/70,449
BorussiaMoenchengladbach,BHR,69/70,336
BorussiaNeunkirchen,BGD,69/70,109
Darmstadt98,BRB,69/70,0
DynamoDresden,BLR,69/70,0
EintrachtBraunschweig,BEL,69/70,299
EintrachtFrankfurt,BLZ,69/70,403
EnergieCottbus,BEN,69/70,0
FCAugsburg,BMU,69/70,0
FCHomburg,BTN,69/70,0
FCIngolstadt04,BOL,69/70,0
FCSt.Pauli,BIH,69/70,0
FortunaDuesseldorf,BWA,69/70,44
FortunaKoeln,BRA,69/70,0
HamburgerSV,VGB,69/70,379
Hannover96,BRN,69/70,291
HansaRostock,BGR,69/70,0
HerthaBSCBerlin,BFA,69/70,183
KarlsruherSC,BDI,69/70,210
KickersOffenbach,CPV,69/70,42
MeidericherSV,KHM,69/70,176
MSVDuisburg,CMR,69/70,177
Preu§enMuenster,CAN,69/70,34
RBLeipzig,CYM,69/70,0
Rot-Wei§Essen,CAF,69/70,76
Rot-Wei§Oberhausen,TCD,69/70,50
SCFreiburg,CHI,69/70,0
SCPaderborn07,CHL,69/70,31
Schalke04,CHN,69/70,296
SpVggGreutherFuerth,COL,69/70,0
SpVggUnterhaching,COM,69/70,0
SSVUlm,COD,69/70,0
StuttgarterKickers,COG,69/70,0
SVDarmstadt98,CRI,69/70,0
TasmaniaBerlin,CIV,69/70,15
TennisBorussiaBerlin,HRV,69/70,0
VfBLeipzig,CUB,69/70,0
VfBStuttgart,CUW,69/70,368
VfLBochum,CYP,69/70,0
VfLWolfsburg,CZE,69/70,0
WaldhofMannheim,DNK,69/70,0
Wattenscheid09,DJI,69/70,0
WerderBremen,DMA,69/70,397
1.FCKaiserslautern,AFG,70/71,356
1.FCKoeln,ALB,70/71,510
1.FCNuernberg,DZA,70/71,302
1.FCSaarbruecken,ASM,70/71,44
1.FSVMainz05,AND,70/71,0
1860Muenchen,AGO,70/71,416
1899Hoffenheim,ATG,70/71,0
AlemanniaAachen,ARG,70/71,140
ArminiaBielefeld,ARM,70/71,34
Bayer04Leverkusen,ABW,70/71,0
BayerUerdingen,AUS,70/71,0
BayernMuenchen,AUT,70/71,424
Blau-Wei§90Berlin,AZE,70/71,0
BorussiaDortmund,BHS,70/71,503
BorussiaMoenchengladbach,BHR,70/71,413
BorussiaNeunkirchen,BGD,70/71,109
Darmstadt98,BRB,70/71,0
DynamoDresden,BLR,70/71,0
EintrachtBraunschweig,BEL,70/71,351
EintrachtFrankfurt,BLZ,70/71,442
EnergieCottbus,BEN,70/71,0
FCAugsburg,BMU,70/71,0
FCHomburg,BTN,70/71,0
FCIngolstadt04,BOL,70/71,0
FCSt.Pauli,BIH,70/71,0
FortunaDuesseldorf,BWA,70/71,44
FortunaKoeln,BRA,70/71,0
HamburgerSV,VGB,70/71,433
Hannover96,BRN,70/71,344
HansaRostock,BGR,70/71,0
HerthaBSCBerlin,BFA,70/71,244
KarlsruherSC,BDI,70/71,210
KickersOffenbach,CPV,70/71,91
MeidericherSV,KHM,70/71,176
MSVDuisburg,CMR,70/71,220
Preu§enMuenster,CAN,70/71,34
RBLeipzig,CYM,70/71,0
Rot-Wei§Essen,CAF,70/71,124
Rot-Wei§Oberhausen,TCD,70/71,104
SCFreiburg,CHI,70/71,0
SCPaderborn07,CHL,70/71,31
Schalke04,CHN,70/71,340
SpVggGreutherFuerth,COL,70/71,0
SpVggUnterhaching,COM,70/71,0
SSVUlm,COD,70/71,0
StuttgarterKickers,COG,70/71,0
SVDarmstadt98,CRI,70/71,0
TasmaniaBerlin,CIV,70/71,15
TennisBorussiaBerlin,HRV,70/71,0
VfBLeipzig,CUB,70/71,0
VfBStuttgart,CUW,70/71,417
VfLBochum,CYP,70/71,0
VfLWolfsburg,CZE,70/71,0
WaldhofMannheim,DNK,70/71,0
Wattenscheid09,DJI,70/71,0
WerderBremen,DMA,70/71,438
1.FCKaiserslautern,AFG,71/72,415
1.FCKoeln,ALB,71/72,574
1.FCNuernberg,DZA,71/72,302
1.FCSaarbruecken,ASM,71/72,44
1.FSVMainz05,AND,71/72,0
1860Muenchen,AGO,71/72,416
1899Hoffenheim,ATG,71/72,0
AlemanniaAachen,ARG,71/72,140
ArminiaBielefeld,ARM,71/72,34
Bayer04Leverkusen,ABW,71/72,0
BayerUerdingen,AUS,71/72,0
BayernMuenchen,AUT,71/72,525
Blau-Wei§90Berlin,AZE,71/72,0
BorussiaDortmund,BHS,71/72,537
BorussiaMoenchengladbach,BHR,71/72,495
BorussiaNeunkirchen,BGD,71/72,109
Darmstadt98,BRB,71/72,0
DynamoDresden,BLR,71/72,0
EintrachtBraunschweig,BEL,71/72,394
EintrachtFrankfurt,BLZ,71/72,513
EnergieCottbus,BEN,71/72,0
FCAugsburg,BMU,71/72,0
FCHomburg,BTN,71/72,0
FCIngolstadt04,BOL,71/72,0
FCSt.Pauli,BIH,71/72,0
FortunaDuesseldorf,BWA,71/72,84
